epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.79446,0,19.8401,0,0,0,0,0,0,41.1498,0,1.429e-05,1.429e-05,1.429e-05
2,6.99225,0,19.7827,0,0,0,0,0,0,41.1707,0,4.20212e-05,4.20212e-05,4.20212e-05
3,9.70181,0,19.6695,0,0,0,0,0,0,41.1916,0,6.86206e-05,6.86206e-05,6.86206e-05
4,12.7409,0,19.5557,0,0,0,0,0,0,41.2144,0,9.40882e-05,9.40882e-05,9.40882e-05
5,15.6877,0,19.442,0,0,0,0,0,0,41.2256,0,0.000118424,0.000118424,0.000118424
6,18.6244,0,19.2792,0,0,0,0,0,0,41.2256,0,0.000141628,0.000141628,0.000141628
7,21.4618,0,19.2644,0,0,0,0,0,0,41.252,0,0.000163701,0.000163701,0.000163701
8,24.67,0,19.2194,0,0,0,0,0,0,41.2826,0,0.000184641,0.000184641,0.000184641
9,27.6532,0,19.0106,0,0,0,0,0,0,41.2826,0,0.00020445,0.00020445,0.00020445
10,32.8087,0,19.0499,0,0,0,0,0,0,41.3151,0,0.000223127,0.000223127,0.000223127
11,36.3238,0,18.8424,0,0,0,0,0,0,41.3151,0,0.000240672,0.000240672,0.000240672
12,39.4854,0,18.8971,0,0,0,0,0,0,41.3372,0,0.000257086,0.000257086,0.000257086
13,42.6895,0,18.6778,0,0,0,0,0,0,41.3372,0,0.000272367,0.000272367,0.000272367
14,45.4144,0,18.6306,0,0,0,0,0,0,41.3372,0,0.000286517,0.000286517,0.000286517
15,48.2684,0,18.5122,0,0,0,0,0,0,41.4242,0,0.000299536,0.000299536,0.000299536
16,51.08,0,18.3644,0,0,0,0,0,0,41.4242,0,0.000311422,0.000311422,0.000311422
17,54.3632,0,18.3925,0,0,0,0,0,0,41.4242,0,0.000322177,0.000322177,0.000322177
18,57.3282,0,18.36,0,0,0,0,0,0,41.5472,0,0.0003318,0.0003318,0.0003318
19,60.4634,0,18.0723,0,0,0,0,0,0,41.5472,0,0.000340291,0.000340291,0.000340291
20,63.6386,0,18.0797,0,0,0,0,0,0,41.5472,0,0.00034765,0.00034765,0.00034765
21,66.6179,0,18.081,0,0,0,0,0,0,41.7188,0,0.000353878,0.000353878,0.000353878
22,69.5834,0,17.8044,0,0,0,0,0,0,41.7188,0,0.000358973,0.000358973,0.000358973
23,72.3209,0,17.7833,0,0,0,0,0,0,41.7188,0,0.000362937,0.000362937,0.000362937
24,75.2495,0,17.768,0,0,0,0,0,0,41.7188,0,0.00036577,0.00036577,0.00036577
25,78.0302,0,17.7424,0,0,0,0,0,0,41.7502,0,0.00036747,0.00036747,0.00036747
26,80.8655,0,17.4515,0,0,0,0,0,0,41.7502,0,0.000368039,0.000368039,0.000368039
27,83.3441,0,17.4268,0,0,0,0,0,0,41.7502,0,0.000367476,0.000367476,0.000367476
28,86.3202,0,17.5874,0,0,0,0,0,0,41.7502,0,0.000365781,0.000365781,0.000365781
29,89.0326,0,17.4632,0,0,0,0,0,0,41.7502,0,0.000362955,0.000362955,0.000362955
30,95.1194,0,17.4228,0,0,0,0,0,0,41.2685,0,0.000358996,0.000358996,0.000358996
31,101.332,0,17.0562,0,0,0,0,0,0,41.2685,0,0.000353906,0.000353906,0.000353906
32,107.173,0,17.159,0,0,0,0,0,0,41.2685,0,0.000347684,0.000347684,0.000347684
33,112.949,0,17.1287,0,0,0,0,0,0,41.2685,0,0.000340331,0.000340331,0.000340331
34,118.752,0,17.1322,0,0,0,0,0,0,41.2685,0,0.000331845,0.000331845,0.000331845
35,122.504,0,17.0847,0,0,0,0,0,0,41.2685,0,0.000322228,0.000322228,0.000322228
36,125.158,0,17.0891,0,0,0,0,0,0,40.4751,0,0.000311479,0.000311479,0.000311479
37,128.466,0,16.8902,0,0,0,0,0,0,40.4751,0,0.000299598,0.000299598,0.000299598
38,130.846,0,16.8028,0,0,0,0,0,0,40.4751,0,0.000286586,0.000286586,0.000286586
39,133.287,0,16.915,0,0,0,0,0,0,40.4751,0,0.000272442,0.000272442,0.000272442
40,136.048,0,16.9602,0,0,0,0,0,0,40.4751,0,0.000257166,0.000257166,0.000257166
41,138.656,0,17.0476,0,0,0,0,0,0,40.4751,0,0.000240758,0.000240758,0.000240758
42,141.555,0,16.8849,0,0,0,0,0,0,40.4751,0,0.000223218,0.000223218,0.000223218
43,144.39,0,17.0441,0,0,0,0,0,0,39.8013,0,0.000204547,0.000204547,0.000204547
44,146.797,0,16.8714,0,0,0,0,0,0,39.8013,0,0.000184744,0.000184744,0.000184744
45,149.285,0,16.9194,0,0,0,0,0,0,39.8013,0,0.000163809,0.000163809,0.000163809
46,151.858,0,16.8805,0,0,0,0,0,0,39.8013,0,0.000141743,0.000141743,0.000141743
47,154.615,0,16.7787,0,0,0,0,0,0,39.8013,0,0.000118544,0.000118544,0.000118544
48,157.338,0,16.8027,0,0,0,0,0,0,39.8013,0,9.4214e-05,9.4214e-05,9.4214e-05
49,159.858,0,16.8225,0,0,0,0,0,0,39.8013,0,6.8752e-05,6.8752e-05,6.8752e-05
50,162.493,0,16.8008,0,0,0,0,0,0,39.8013,0,4.21584e-05,4.21584e-05,4.21584e-05
